"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"1945",NA,97.7342128337983,98,86.5,105,95.2,100.5
"1946",NA,91.6070541940626,93.14,71.56,106.84,90.2,94.9
"1947",NA,88.7685378486056,90.72,72.37,103.51,82.7075,95.14
"1948",NA,94.8607748232248,96.86,74.09,105.66,94.01,98.67
"1949",NA,93.0235801853882,95.69,76.5,120.2,80.49,100.51
"1950",NA,93.5001125610121,93.56,79.12,134.86,84.86,100.99
"1951",NA,89.0069369638939,85.045,80.3,120.83,83.36,94.11
"1952",NA,88.1332696517413,86.57,59.34,113.59,84.96,88.59
"1953",NA,96.7785580561641,94.38,85.3,132.5,88.9,103.3
"1954",NA,117.685776912323,118,89.3,151.6,110.51,125.9
"1955",NA,107.732708022666,106.8,93.82,126.01,101.8,113.9
"1956",NA,120.112666934835,121.03,102.04,147.65,117.13,123.79
"1957",NA,122.05442147943,122.49,109.68,132.76,119.05,125.16
"1958",NA,125.763024871614,125.49,113.81,157,123.495,127.34
"1959",NA,120.486784476784,121.44,105.79,134.01,117.21,124.27
"1960",NA,118.42044955045,118.785,99.32,140.85,110.8,126.23
"1961",NA,112.777829681275,112.45,98.7,132.25,109.795,114.9
"1962",NA,104.487937692844,105.61,87.51,120.66,101.205,108.46
"1963",NA,95.8074134317932,95.98,85,109.8,90.7,100.59
"1964",NA,100.436501193792,102.065,83.56,114.4,95.195,106.5
"1965",NA,101.049493115147,101.605,86.6,107.49,99.17,103.5375
"1966",NA,95.44493777999,96.19,78.61,104.7,93.67,98.61
"1967",NA,83.7474616610237,83.01,69.96,96.08,80.39,86.87
"1968",NA,82.1910999202234,83.2,66.39,95.73,73.6,90.26
"1969",NA,84.2261369290477,86.85,68.35,102.5,78.19,90.63
"1970",NA,84.0220879449596,86.72,69.22,93.52,78.22,88.73
"1971",NA,87.1387302061548,89,71.26,102.39,86.49,90.38
"1972",NA,89.2979091995221,90.96,75.24,102.27,85.5275,93.6225
"1973",NA,101.061185613231,101.58,82.51,152.09,96.83,106.04
"1974",NA,102.739687219843,107.77,75.53,141.84,98.39,111.17
"1975",NA,85.0582556750299,84.2,77.14,114.43,83.23,85.69
"1976",NA,97.1304699790899,96.46,83.22,121.48,92.825,100.71
"1977",NA,108.215637577207,107.745,95.57,124.6,103.8325,112.03
"1978",NA,124.700752238806,124.37,106.33,145.35,118.5,131.3675
"1979",NA,150.925376494024,150.845,126.58,175.53,143.64,158.0825
"1980",NA,174.039302209835,173.425,141.45,205.81,165.35,182.7
"1981",NA,187.111426864483,186.82,159.63,222.1,178.58,194.5
"1982",NA,163.853219832736,161.4,138.83,209.46,152.2775,174.66
"1983",NA,140.473775987267,139.64,123.55,166.07,135.88,144.34
"1984",NA,154.344873505976,154.53,127.59,188.66,143.9375,165.14
"1985",NA,153.044263403959,152.75,133.21,180.76,143.25,160.75
"1986",NA,150.774299363057,150.83,139.19,167.43,147.2875,154.19
"1987",NA,164.042214705004,163.38,146.86,184.55,156.77,171.37
"1988",NA,170.770381094527,169.95,139.28,196.12,162.8425,178.0375
"1989",NA,157.422117565148,158.41,125.82,184.99,150.9925,165.55
